"transcript","gene","Gene"
"Peer2.0.1.fasta009411-RA","ASB13"," Ankyrin repeat and SOCS box protein 13 (Homo sapiens)"
"Peer2.0.1.fasta009417-RA","IL15RA"," Interleukin-15 receptor subunit alpha (Mus musculus)"
"Peer2.0.1.fasta009418-RA","IL2RA"," Interleukin-2 receptor subunit alpha (Rattus norvegicus)"
"Peer2.0.1.fasta009412-RA","TASOR2"," Protein TASOR 2 (Mus musculus)"
"Peer2.0.1.fasta009413-RA","GDI2"," Rab GDP dissociation inhibitor beta (Sus scrofa)"
"Peer2.0.1.fasta009414-RA","RPL24"," 60S ribosomal protein L24 (Rattus norvegicus)"
"Peer2.0.1.fasta009420-RA","RBM17"," Splicing factor 45 (Mus musculus)"
"Peer2.0.1.fasta009419-RA","PSMC6"," 26S proteasome regulatory subunit 10B (Bos taurus)"
"Peer2.0.1.fasta009422-RA","COX7B2"," Cytochrome c oxidase subunit 7B2%2C mitochondrial (Macaca fascicularis)"
"Peer2.0.1.fasta009423-RA","RPS6"," 40S ribosomal protein S6 (Rattus norvegicus)"
"Peer2.0.1.fasta009424-RA","OAS2"," 2'-5'-oligoadenylate synthase 2 (Bos taurus)"
"Peer2.0.1.fasta009416-RA","FBH1"," F-box DNA helicase 1 (Homo sapiens)"
"Peer2.0.1.fasta009415-RA","ANKRD16"," Ankyrin repeat domain-containing protein 16 (Rattus norvegicus)"
"Peer2.0.1.fasta009426-RA","ELOB"," Elongin-B (Mus musculus)"
"Peer2.0.1.fasta009428-RA","POLR1E"," DNA-directed RNA polymerase I subunit RPA49 (Mus musculus)"
"Peer2.0.1.fasta009427-RA","RPL23A"," 60S ribosomal protein L23a (Rattus norvegicus)"
"Peer2.0.1.fasta009421-RA","PFKFB3"," 6-phosphofructo-2-kinase/fructose-2%2C6-bisphosphatase 3 (Rattus norvegicus)"
"Peer2.0.1.fasta009429-RA","RPS2"," 40S ribosomal protein S2 (Mus musculus)"
"Peer2.0.1.fasta009430-RA","RPS2"," 40S ribosomal protein S2 (Mus musculus)"
"Peer2.0.1.fasta009425-RA","PRKCQ"," Protein kinase C theta type (Rattus norvegicus)"
"Peer2.0.1.fasta009431-RA","SFMBT2"," Scm-like with four MBT domains protein 2 (Homo sapiens)"
"Peer2.0.1.fasta009432-RA","MRPS12"," 28S ribosomal protein S12%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta009392-RA","TRA2B"," Transformer-2 protein homolog beta (Rattus norvegicus)"
"Peer2.0.1.fasta009387-RA","AKR1C23"," Aldo-keto reductase family 1 member C23 (Equus caballus)"
"Peer2.0.1.fasta009391-RA","AKR1C13"," Aldo-keto reductase family 1 member C13 (Mus musculus)"
"Peer2.0.1.fasta009393-RA","AKR1C13"," Aldo-keto reductase family 1 member C13 (Mus musculus)"
"Peer2.0.1.fasta009390-RA","AKR1C13"," Aldo-keto reductase family 1 member C13 (Mus musculus)"
"Peer2.0.1.fasta009386-RA","MORPHINE 6-DEHYDROGENASE (FRAGMENTS) (ORYCTOLAGUS CUNICULUS)",NA
"Peer2.0.1.fasta009388-RA","AKR1C6"," Estradiol 17 beta-dehydrogenase 5 (Mus musculus)"
"Peer2.0.1.fasta009389-RA","AKR1C6"," Estradiol 17 beta-dehydrogenase 5 (Mus musculus)"
"Peer2.0.1.fasta009437-RA","TAF3"," Transcription initiation factor TFIID subunit 3 (Mus musculus)"
"Peer2.0.1.fasta009434-RA","ITIH2"," Inter-alpha-trypsin inhibitor heavy chain H2 (Mus musculus)"
"Peer2.0.1.fasta009435-RA","KIN"," DNA/RNA-binding protein KIN17 (Homo sapiens)"
"Peer2.0.1.fasta009436-RA","ATP5F1C"," ATP synthase subunit gamma%2C mitochondrial (Macaca fascicularis)"
"Peer2.0.1.fasta009433-RA","ITIH5"," Inter-alpha-trypsin inhibitor heavy chain H5 (Mus musculus)"
"Peer2.0.1.fasta009438-RA","GATA3"," Trans-acting T-cell-specific transcription factor GATA-3 (Bos taurus)"
"Peer2.0.1.fasta009439-RA","UBL5"," Ubiquitin-like protein 5 (Mesocricetus auratus)"
"Peer2.0.1.fasta009440-RA","CELF2"," CUGBP Elav-like family member 2 (Homo sapiens)"
"Peer2.0.1.fasta009442-RA","CELF2"," CUGBP Elav-like family member 2 (Homo sapiens)"
"Peer2.0.1.fasta009443-RA","HESX1"," Homeobox expressed in ES cells 1 (Mus musculus)"
"Peer2.0.1.fasta009441-RA","CELF2"," CUGBP Elav-like family member 2 (Homo sapiens)"
"Peer2.0.1.fasta009444-RA","USP6NL"," USP6 N-terminal-like protein (Mus musculus)"
"Peer2.0.1.fasta009445-RA","ECHDC3"," Enoyl-CoA hydratase domain-containing protein 3%2C mitochondrial (Rattus norvegicus)"
"Peer2.0.1.fasta009446-RA","PROSER2"," Proline and serine-rich protein 2 (Mus musculus)"
"Peer2.0.1.fasta009448-RA","RPL27"," 60S ribosomal protein L27 (Cervus nippon)"
"Peer2.0.1.fasta009447-RA","UPF2"," Regulator of nonsense transcripts 2 (Homo sapiens)"
"Peer2.0.1.fasta009450-RA","SEC61A2"," Protein transport protein Sec61 subunit alpha isoform 2 (Bos taurus)"
"Peer2.0.1.fasta009449-RA","DHTKD1"," Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta009451-RA","NUDT5"," ADP-sugar pyrophosphatase (Rattus norvegicus)"
"Peer2.0.1.fasta009457-RA","CAMK1D"," Calcium/calmodulin-dependent protein kinase type 1D (Mus musculus)"
"Peer2.0.1.fasta009453-RA","CDC123"," Cell division cycle protein 123 homolog (Rattus norvegicus)"
"Peer2.0.1.fasta009452-RA","CDC123"," Cell division cycle protein 123 homolog (Rattus norvegicus)"
"Peer2.0.1.fasta009455-RA","RPS2"," 40S ribosomal protein S2 (Mus musculus)"
"Peer2.0.1.fasta009454-RA","RPS2"," 40S ribosomal protein S2 (Mus musculus)"
"Peer2.0.1.fasta009456-RA",NA,NA
"Peer2.0.1.fasta009458-RA","CAMK1D"," Calcium/calmodulin-dependent protein kinase type 1D (Mus musculus)"
"Peer2.0.1.fasta009459-RA","CCDC3"," Coiled-coil domain-containing protein 3 (Mus musculus)"
"Peer2.0.1.fasta009460-RA","CCDC3"," Coiled-coil domain-containing protein 3 (Mus musculus)"
"Peer2.0.1.fasta009466-RA","SEPHS1"," Selenide%2C water dikinase 1 (Bos taurus)"
"Peer2.0.1.fasta009465-RA","PHYH"," Phytanoyl-CoA dioxygenase%2C peroxisomal (Rattus norvegicus)"
"Peer2.0.1.fasta009468-RA","BEND7"," BEN domain-containing protein 7 (Mus musculus)"
"Peer2.0.1.fasta009467-RA","SRSF3"," Serine/arginine-rich splicing factor 3 (Mus musculus)"
"Peer2.0.1.fasta009469-RA","PRPF18"," Pre-mRNA-splicing factor 18 (Bos taurus)"
"Peer2.0.1.fasta009472-RA","FRMD4A"," FERM domain-containing protein 4A (Homo sapiens)"
"Peer2.0.1.fasta009461-RA","OPTN"," Optineurin (Rattus norvegicus)"
"Peer2.0.1.fasta009462-RA","MCM10"," Protein MCM10 homolog (Mus musculus)"
"Peer2.0.1.fasta009464-RA","UCMA"," Unique cartilage matrix-associated protein (Homo sapiens)"
"Peer2.0.1.fasta009463-RA","SNRPG"," Small nuclear ribonucleoprotein G (Homo sapiens)"
"Peer2.0.1.fasta009475-RA","FAM107B"," Protein FAM107B (Bos taurus)"
"Peer2.0.1.fasta009473-RA","PTBP1"," Polypyrimidine tract-binding protein 1 (Sus scrofa)"
"Peer2.0.1.fasta009474-RA","ZC3H14"," Zinc finger CCCH domain-containing protein 14 (Rattus norvegicus)"
"Peer2.0.1.fasta009478-RA","HSPA14"," Heat shock 70 kDa protein 14 (Homo sapiens)"
"Peer2.0.1.fasta009476-RA","TMEM139"," Transmembrane protein 139 (Homo sapiens)"
"Peer2.0.1.fasta009477-RA","CDNF"," Cerebral dopamine neurotrophic factor (Rattus norvegicus)"
"Peer2.0.1.fasta009470-RA","FRMD4A"," FERM domain-containing protein 4A (Homo sapiens)"
"Peer2.0.1.fasta009471-RA",NA,NA
"Peer2.0.1.fasta009487-RA","RPP38"," Ribonuclease P protein subunit p38 (Mus musculus)"
"Peer2.0.1.fasta009485-RA","OLAH"," S-acyl fatty acid synthase thioesterase%2C medium chain (Mus musculus)"
"Peer2.0.1.fasta009486-RA","ACBD7"," Acyl-CoA-binding domain-containing protein 7 (Mus musculus)"
"Peer2.0.1.fasta009484-RA","TFPI"," Tissue factor pathway inhibitor (Mus musculus)"
"Peer2.0.1.fasta009491-RA","ITGA8"," Integrin alpha-8 (Mus musculus)"
"Peer2.0.1.fasta009490-RA","FAM171A1"," Protein FAM171A1 (Homo sapiens)"
"Peer2.0.1.fasta009488-RA","NMT2"," Glycylpeptide N-tetradecanoyltransferase 2 (Mus musculus)"
"Peer2.0.1.fasta009489-RA","UNG"," Uracil-DNA glycosylase (Mus musculus)"
"Peer2.0.1.fasta009492-RA","MINDY3"," Ubiquitin carboxyl-terminal hydrolase MINDY-3 (Homo sapiens)"
"Peer2.0.1.fasta009493-RA","RPS25"," 40S ribosomal protein S25 (Bos taurus)"
"Peer2.0.1.fasta009479-RA","SUV39H2"," Histone-lysine N-methyltransferase SUV39H2 (Mus musculus)"
"Peer2.0.1.fasta009483-RA","HIRA"," Protein HIRA (Homo sapiens)"
"Peer2.0.1.fasta009480-RA","DCLRE1C"," Protein artemis (Rattus norvegicus)"
"Peer2.0.1.fasta009482-RA","MEIG1"," Meiosis expressed gene 1 protein homolog (Bos taurus)"
"Peer2.0.1.fasta009481-RA","DCLRE1C"," Protein artemis (Rattus norvegicus)"
"Peer2.0.1.fasta009495-RA","C1QL3"," Complement C1q-like protein 3 (Homo sapiens)"
"Peer2.0.1.fasta009494-RA","PTER"," Phosphotriesterase-related protein (Rattus norvegicus)"
"Peer2.0.1.fasta009498-RA","CUBN"," Cubilin (Mus musculus)"
"Peer2.0.1.fasta009496-RA","RSU1"," Ras suppressor protein 1 (Mus musculus)"
"Peer2.0.1.fasta009497-RA","CUBN"," Cubilin (Rattus norvegicus)"
"Peer2.0.1.fasta009503-RA","LRP2"," Low-density lipoprotein receptor-related protein 2 (Rattus norvegicus)"
"Peer2.0.1.fasta009504-RA","RPS6"," 40S ribosomal protein S6 (Rattus norvegicus)"
"Peer2.0.1.fasta009501-RA","VIM"," Vimentin (Pan troglodytes)"
"Peer2.0.1.fasta009499-RA","TRDMT1"," tRNA (cytosine(38)-C(5))-methyltransferase (Mus musculus)"
"Peer2.0.1.fasta009500-RA","ELOF1"," Transcription elongation factor 1 homolog (Mus musculus)"
"Peer2.0.1.fasta009505-RA","HACD1"," Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (Mus musculus)"
"Peer2.0.1.fasta009506-RA","SNRPD2"," Small nuclear ribonucleoprotein Sm D2 (Mus musculus)"
"Peer2.0.1.fasta009507-RA","STAM"," Signal transducing adapter molecule 1 (Mus musculus)"
"Peer2.0.1.fasta009508-RA","TMEM236"," Transmembrane protein 236 (Mus musculus)"
"Peer2.0.1.fasta009509-RA","MRC1"," Macrophage mannose receptor 1 (Mus musculus)"
"Peer2.0.1.fasta009510-RA","SLC39A12"," Zinc transporter ZIP12 (Mus musculus)"
"Peer2.0.1.fasta009511-RA","SLC39A12"," Zinc transporter ZIP12 (Mus musculus)"
"Peer2.0.1.fasta009512-RA","CERK"," Ceramide kinase (Homo sapiens)"
"Peer2.0.1.fasta009502-RA","ST8SIA6"," Alpha-2%2C8-sialyltransferase 8F (Mus musculus)"
"Peer2.0.1.fasta009516-RA","CSNK1A1"," Casein kinase I isoform alpha (Homo sapiens)"
"Peer2.0.1.fasta009517-RA","MALRD1"," MAM and LDL-receptor class A domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta009518-RA","RSL24D1"," Probable ribosome biogenesis protein RLP24 (Homo sapiens)"
"Peer2.0.1.fasta009519-RA","MRPL43"," 39S ribosomal protein L43%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta009515-RA","ARL5B"," ADP-ribosylation factor-like protein 5B (Homo sapiens)"
"Peer2.0.1.fasta009521-RA","SLC35D1"," UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter (Homo sapiens)"
"Peer2.0.1.fasta009522-RA","RPL17"," 60S ribosomal protein L17 (Felis catus)"
"Peer2.0.1.fasta009523-RA","NEBL"," LIM zinc-binding domain-containing Nebulette (Mus musculus)"
"Peer2.0.1.fasta009524-RA","RPS20"," 40S ribosomal protein S20 (Mus musculus)"
"Peer2.0.1.fasta009513-RA","CATSPER1"," Cation channel sperm-associated protein 1 (Homo sapiens)"
"Peer2.0.1.fasta009514-RA","NSUN6"," tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 (Mus musculus)"
"Peer2.0.1.fasta009525-RA","SKIDA1"," SKI/DACH domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta009527-RA","MLLT10"," Protein AF-10 (Homo sapiens)"
"Peer2.0.1.fasta009526-RA","SETD4"," SET domain-containing protein 4 (Mus musculus)"
"Peer2.0.1.fasta009520-RA","NEBL"," Nebulette (Homo sapiens)"
"Peer2.0.1.fasta009531-RA","MLLT10"," Protein AF-10 (Homo sapiens)"
"Peer2.0.1.fasta009532-RA","DNAJC1"," DnaJ homolog subfamily C member 1 (Mus musculus)"
"Peer2.0.1.fasta009534-RA","DNAJC1"," DnaJ homolog subfamily C member 1 (Mus musculus)"
"Peer2.0.1.fasta009533-RA","COX15"," Cytochrome c oxidase assembly protein COX15 homolog (Mus musculus)"
"Peer2.0.1.fasta009530-RA","AIMP2"," Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Bos taurus)"
"Peer2.0.1.fasta009528-RA","ELOC"," Elongin-C (Homo sapiens)"
"Peer2.0.1.fasta009529-RA","NDUFS5"," NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (Mus musculus)"
"Peer2.0.1.fasta009535-RA","RPL23"," 60S ribosomal protein L23 (Rattus norvegicus)"
"Peer2.0.1.fasta009540-RA","CST14"," Cystatin-14 (Rattus norvegicus)"
"Peer2.0.1.fasta009541-RA","CST11"," Cystatin-11 (Rattus norvegicus)"
"Peer2.0.1.fasta009539-RA","PIP4K2A"," Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (Sus scrofa)"
"Peer2.0.1.fasta009544-RA","MSRB2"," Methionine-R-sulfoxide reductase B2%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta009543-RA","MSRB2"," Methionine-R-sulfoxide reductase B2%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta009546-RA","C10ORF67"," Uncharacterized protein C10orf67%2C mitochondrial (Homo sapiens)"
"Peer2.0.1.fasta009537-RA","BMI1"," Polycomb complex protein BMI-1 (Bos taurus)"
"Peer2.0.1.fasta009538-RA","SPAG6"," Sperm-associated antigen 6 (Homo sapiens)"
"Peer2.0.1.fasta009536-RA","COMMD3"," COMM domain-containing protein 3 (Mus musculus)"
"Peer2.0.1.fasta009545-RA","PTF1A"," Pancreas transcription factor 1 subunit alpha (Homo sapiens)"
"Peer2.0.1.fasta009547-RA","OTUD1"," OTU domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta009548-RA","ATP6V1D"," V-type proton ATPase subunit D (Homo sapiens)"
"Peer2.0.1.fasta009542-RA","ARMC3"," Armadillo repeat-containing protein 3 (Homo sapiens)"
"Peer2.0.1.fasta009549-RA","SKT"," Sickle tail protein (Mus musculus)"
"Peer2.0.1.fasta009558-RA","PRTFDC1"," Phosphoribosyltransferase domain-containing protein 1 (Homo sapiens)"
"Peer2.0.1.fasta009560-RA","THNSL1"," Threonine synthase-like 1 (Homo sapiens)"
"Peer2.0.1.fasta009559-RA","ENKUR"," Enkurin (Mus musculus)"
"Peer2.0.1.fasta009551-RA","RPL27A"," 60S ribosomal protein L27a (Rattus norvegicus)"
"Peer2.0.1.fasta009552-RA","SKT"," Sickle tail protein (Mus musculus)"
"Peer2.0.1.fasta009550-RA","SKT"," Sickle tail protein (Mus musculus)"
"Peer2.0.1.fasta009561-RA","COX6C"," Cytochrome c oxidase subunit 6C (Vicugna pacos)"
"Peer2.0.1.fasta009565-RA","MYO3A"," Myosin-IIIa (Mus musculus)"
"Peer2.0.1.fasta009564-RA","MYO3A"," Myosin-IIIa (Homo sapiens)"
"Peer2.0.1.fasta009562-RA","HSPE1"," 10 kDa heat shock protein%2C mitochondrial (Homo sapiens)"
"Peer2.0.1.fasta009563-RA","MYO3A"," Myosin-IIIa (Homo sapiens)"
"Peer2.0.1.fasta009556-RA","ARHGAP21"," Rho GTPase-activating protein 21 (Mus musculus)"
"Peer2.0.1.fasta009553-RA","ARIH2"," E3 ubiquitin-protein ligase ARIH2 (Homo sapiens)"
"Peer2.0.1.fasta009555-RA","RPA2"," Replication protein A 32 kDa subunit (Mus musculus)"
"Peer2.0.1.fasta009554-RA","ARIH2"," E3 ubiquitin-protein ligase ARIH2 (Homo sapiens)"
"Peer2.0.1.fasta009557-RA","ARHGAP21"," Rho GTPase-activating protein 21 (Homo sapiens)"
"Peer2.0.1.fasta009566-RA","MYO3A"," Myosin-IIIa (Homo sapiens)"
"Peer2.0.1.fasta009567-RA","GAD2"," Glutamate decarboxylase 2 (Canis lupus familiaris)"
"Peer2.0.1.fasta009568-RA","GAD2"," Glutamate decarboxylase 2 (Canis lupus familiaris)"
"Peer2.0.1.fasta009569-RA","APBB1IP"," Amyloid beta A4 precursor protein-binding family B member 1-interacting protein (Mus musculus)"
"Peer2.0.1.fasta009570-RA","PDSS1"," Decaprenyl-diphosphate synthase subunit 1 (Mus musculus)"
"Peer2.0.1.fasta009572-RA","PARP10"," Protein mono-ADP-ribosyltransferase PARP10 (Mus musculus)"
"Peer2.0.1.fasta009573-RA","PARP10"," Protein mono-ADP-ribosyltransferase PARP10 (Mus musculus)"
"Peer2.0.1.fasta009571-RA","ABI1"," Abl interactor 1 (Mus musculus)"
"Peer2.0.1.fasta009574-RA","ABI1"," Abl interactor 1 (Mus musculus)"
"Peer2.0.1.fasta009581-RA","CUL2"," Cullin-2 (Homo sapiens)"
"Peer2.0.1.fasta009582-RA","CUL2"," Cullin-2 (Homo sapiens)"
"Peer2.0.1.fasta009583-RA","BAMBI"," BMP and activin membrane-bound inhibitor homolog (Homo sapiens)"
"Peer2.0.1.fasta009580-RA","CREM"," cAMP-responsive element modulator (Homo sapiens)"
"Peer2.0.1.fasta009576-RA","ACBD5"," Acyl-CoA-binding domain-containing protein 5 (Homo sapiens)"
"Peer2.0.1.fasta009575-RA","ACBD5"," Acyl-CoA-binding domain-containing protein 5 (Homo sapiens)"
"Peer2.0.1.fasta009584-RA","LYZL1"," Lysozyme-like protein 1 (Mus musculus)"
"Peer2.0.1.fasta009578-RA","YME1L1"," ATP-dependent zinc metalloprotease YME1L1 (Homo sapiens)"
"Peer2.0.1.fasta009577-RA","MASTL"," Serine/threonine-protein kinase greatwall (Mus musculus)"
"Peer2.0.1.fasta009579-RA","ANKRD19P"," Putative ankyrin repeat domain-containing protein 19 (Homo sapiens)"
"Peer2.0.1.fasta009586-RA","MTPAP"," Poly(A) RNA polymerase%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta009585-RA","MAP3K8"," Mitogen-activated protein kinase kinase kinase 8 (Rattus norvegicus)"
"Peer2.0.1.fasta009588-RA","JCAD"," Junctional protein associated with coronary artery disease (Mus musculus)"
"Peer2.0.1.fasta009587-RA","CNPY2"," Protein canopy homolog 2 (Mus musculus)"
"Peer2.0.1.fasta009589-RA","SVIL"," Supervillin (Mus musculus)"
"Peer2.0.1.fasta009590-RA","ZNF438"," Zinc finger protein 438 (Homo sapiens)"
"Peer2.0.1.fasta009596-RA","NWD1"," NACHT domain- and WD repeat-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta009594-RA","RPS28"," 40S ribosomal protein S28 (Bos taurus)"
"Peer2.0.1.fasta009592-RA","RPS29"," 40S ribosomal protein S29 (Pongo abelii)"
"Peer2.0.1.fasta009591-RA","ZEB1"," Zinc finger E-box-binding homeobox 1 (Mus musculus)"
"Peer2.0.1.fasta009600-RA","EPC1"," Enhancer of polycomb homolog 1 (Mus musculus)"
"Peer2.0.1.fasta009593-RA","ARHGAP12"," Rho GTPase-activating protein 12 (Macaca fascicularis)"
"Peer2.0.1.fasta009601-RA","ANKRD26"," Ankyrin repeat domain-containing protein 26 (Mus musculus)"
"Peer2.0.1.fasta009603-RA","MKX"," Homeobox protein Mohawk (Mus musculus)"
"Peer2.0.1.fasta009602-RA","RAB18"," Ras-related protein Rab-18 (Mus musculus)"
"Peer2.0.1.fasta009598-RA","MFAP1A"," Microfibrillar-associated protein 1A (Mus musculus)"
"Peer2.0.1.fasta009599-RA","EPC1"," Enhancer of polycomb homolog 1 (Mus musculus)"
"Peer2.0.1.fasta009595-RA","KIF5B"," Kinesin-1 heavy chain (Rattus norvegicus)"
"Peer2.0.1.fasta009597-RA","RPS28"," 40S ribosomal protein S28 (Bos taurus)"
"Peer2.0.1.fasta009606-RA","WAC"," WW domain-containing adapter protein with coiled-coil (Homo sapiens)"
"Peer2.0.1.fasta009605-RA","MPP7"," MAGUK p55 subfamily member 7 (Mus musculus)"
"Peer2.0.1.fasta009604-RA","ARMC4"," Armadillo repeat-containing protein 4 (Mus musculus)"
"Peer2.0.1.fasta009610-RA","SYCP2"," Synaptonemal complex protein 2 (Homo sapiens)"
"Peer2.0.1.fasta009609-RA","SEC22B"," Vesicle-trafficking protein SEC22b (Homo sapiens)"
"Peer2.0.1.fasta009611-RA","RPL36"," 60S ribosomal protein L36 (Pongo abelii)"
"Peer2.0.1.fasta009612-RA","RPL27"," 60S ribosomal protein L27 (Cervus nippon)"
"Peer2.0.1.fasta009607-RA","WAC"," WW domain-containing adapter protein with coiled-coil (Homo sapiens)"
"Peer2.0.1.fasta009608-RA","CCT4"," T-complex protein 1 subunit delta (Bos taurus)"
"Peer2.0.1.fasta009613-RA","GJD4"," Gap junction delta-4 protein (Mus musculus)"
"Peer2.0.1.fasta009619-RA","CCDC7"," Coiled-coil domain-containing protein 7 (Mus musculus)"
"Peer2.0.1.fasta009616-RA","CCNY"," Cyclin-Y (Homo sapiens)"
"Peer2.0.1.fasta009615-RA","RPL26L1"," 60S ribosomal protein L26-like 1 (Homo sapiens)"
"Peer2.0.1.fasta009614-RA","RNF213"," E3 ubiquitin-protein ligase RNF213 (Mus musculus)"
"Peer2.0.1.fasta009617-RA","ANKRD26"," Ankyrin repeat domain-containing protein 26 (Mus musculus)"
"Peer2.0.1.fasta009618-RA","RPL35A"," 60S ribosomal protein L35a (Pongo abelii)"
"Peer2.0.1.fasta009620-RA","FMO4"," Dimethylaniline monooxygenase [N-oxide-forming] 4 (Homo sapiens)"
"Peer2.0.1.fasta009621-RA","FMO4"," Dimethylaniline monooxygenase [N-oxide-forming] 4 (Homo sapiens)"
"Peer2.0.1.fasta009626-RA","TIMM8A1"," Mitochondrial import inner membrane translocase subunit Tim8 A (Mus musculus)"
"Peer2.0.1.fasta009627-RA","NRP1"," Neuropilin-1 (Mus musculus)"
"Peer2.0.1.fasta009628-RA","NRP1"," Neuropilin-1 (Mus musculus)"
"Peer2.0.1.fasta009629-RA","VWA2"," von Willebrand factor A domain-containing protein 2 (Homo sapiens)"
"Peer2.0.1.fasta009624-RA","SUSD1"," Sushi domain-containing protein 1 (Homo sapiens)"
"Peer2.0.1.fasta009622-RA","ITGB1"," Integrin beta-1 (Rattus norvegicus)"
"Peer2.0.1.fasta009623-RA","RPL21"," 60S ribosomal protein L21 (Chinchilla lanigera)"
"Peer2.0.1.fasta009625-RA","RPS19"," 40S ribosomal protein S19 (Rattus norvegicus)"
"Peer2.0.1.fasta009631-RA","PARD3"," Partitioning defective 3 homolog (Mus musculus)"
"Peer2.0.1.fasta009630-RA","PARD3"," Partitioning defective 3 homolog (Mus musculus)"
"Peer2.0.1.fasta009634-RA","SMCHD1"," Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta009635-RA","IRF2BP2"," Interferon regulatory factor 2-binding protein 2 (Mus musculus)"
"Peer2.0.1.fasta009636-RA","TARBP1"," Probable methyltransferase TARBP1 (Homo sapiens)"
"Peer2.0.1.fasta009638-RA","TJP3"," Tight junction protein ZO-3 (Canis lupus familiaris)"
"Peer2.0.1.fasta009637-RA","COA6"," Cytochrome c oxidase assembly factor 6 homolog (Mus musculus)"
"Peer2.0.1.fasta009642-RA","PCNX2"," Pecanex-like protein 2 (Mus musculus)"
"Peer2.0.1.fasta009639-RA","KCNK1"," Potassium channel subfamily K member 1 (Bos taurus)"
"Peer2.0.1.fasta009633-RA","TOMM20"," Mitochondrial import receptor subunit TOM20 homolog (Pongo abelii)"
"Peer2.0.1.fasta009632-RA","RBM34"," RNA-binding protein 34 (Rattus norvegicus)"
"Peer2.0.1.fasta009645-RA","MAP10"," Microtubule-associated protein 10 (Mus musculus)"
"Peer2.0.1.fasta009644-RA","NTPCR"," Cancer-related nucleoside-triphosphatase (Homo sapiens)"
"Peer2.0.1.fasta009640-RA","MAP3K21"," Mitogen-activated protein kinase kinase kinase 21 (Mus musculus)"
"Peer2.0.1.fasta009641-RA","MAP3K21"," Mitogen-activated protein kinase kinase kinase 21 (Mus musculus)"
"Peer2.0.1.fasta009643-RA","PCNX2"," Pecanex-like protein 2 (Mus musculus)"
"Peer2.0.1.fasta009648-RA","DISC1"," Disrupted in schizophrenia 1 homolog (Rattus norvegicus)"
"Peer2.0.1.fasta009647-RA","SIPA1L2"," Signal-induced proliferation-associated 1-like protein 2 (Homo sapiens)"
"Peer2.0.1.fasta009646-RA","SIPA1L2"," Signal-induced proliferation-associated 1-like protein 2 (Homo sapiens)"
"Peer2.0.1.fasta009650-RA","DISC1"," Disrupted in schizophrenia 1 homolog (Mus musculus)"
"Peer2.0.1.fasta009649-RA","DISC1"," Disrupted in schizophrenia 1 homolog (Mus musculus)"
"Peer2.0.1.fasta009655-RA","EXOC8"," Exocyst complex component 8 (Bos taurus)"
"Peer2.0.1.fasta009654-RA","SPRTN"," SprT-like domain-containing protein Spartan (Mus musculus)"
"Peer2.0.1.fasta009652-RA","EGLN1"," Egl nine homolog 1 (Mus musculus)"
"Peer2.0.1.fasta009656-RA","RPL37AP8"," Putative 60S ribosomal protein L37a-like protein (Homo sapiens)"
"Peer2.0.1.fasta009653-RA","EGLN1"," Egl nine homolog 1 (Mus musculus)"
"Peer2.0.1.fasta009651-RA","TSNAX"," Translin-associated protein X (Mus musculus)"
"Peer2.0.1.fasta009658-RA","UNCHARACTERIZED PROTEIN C1ORF131 HOMOLOG (RATTUS NORVEGICUS)",NA
"Peer2.0.1.fasta009657-RA","GNPAT"," Dihydroxyacetone phosphate acyltransferase (Mus musculus)"
"Peer2.0.1.fasta009660-RA","ARV1"," Protein ARV1 (Mus musculus)"
"Peer2.0.1.fasta009659-RA","FAM89A"," Protein FAM89A (Rattus norvegicus)"
"Peer2.0.1.fasta009666-RA","PGBD5"," PiggyBac transposable element-derived protein 5 (Homo sapiens)"
"Peer2.0.1.fasta009665-RA","COG2"," Conserved oligomeric Golgi complex subunit 2 (Mus musculus)"
"Peer2.0.1.fasta009668-RA","CLDN7"," Claudin-7 (Rattus norvegicus)"
"Peer2.0.1.fasta009669-RA","CLDN7"," Claudin-7 (Rattus norvegicus)"
"Peer2.0.1.fasta009662-RA","UNCHARACTERIZED PROTEIN C1ORF198 HOMOLOG (MUS MUSCULUS)",NA
"Peer2.0.1.fasta009661-RA","TTC13"," Tetratricopeptide repeat protein 13 (Homo sapiens)"
"Peer2.0.1.fasta009667-RA","GALNT2"," Polypeptide N-acetylgalactosaminyltransferase 2 (Homo sapiens)"
